Replicate,SpeciesComposition,Richness,Arrangement,2016ANPP,2017ANPP,2018ANPP
1,A,1,mono,259.71,1244.75,360.42
1,B,1,mono,212.65,1222.4,206
1,C,1,mono,2.29,57.42,40.24
1,D,1,mono,308.78,717.93,475.9
1,E,1,mono,0,56.6,41.39
1,F,1,mono,277.02,516.6,179.86
1,G,1,mono,22.6,110.43,56.87
1,H,1,mono,288.72,1736.94,531.14
2,A,1,mono,202.78,772.46,267.2
2,B,1,mono,39.58,451.87,118.34
2,C,1,mono,1.28,51.7,38.97
2,D,1,mono,264.1,1264,550.5
2,E,1,mono,11.78,54.44,50.41
2,F,1,mono,254.1,590,139.7
2,G,1,mono,38.68,150.16,88.26
2,H,1,mono,256.28,1709.03,190.7
3,A,1,mono,213.51,1056.44,363.85
3,B,1,mono,199.72,264.88,123.92
3,C,1,mono,6.7,54.78,45.52
3,D,1,mono,43.62,733.6,272.72
3,E,1,mono,6.09,183.73,40.68
3,F,1,mono,161.41,0,164.18
3,G,1,mono,7.01,90,70.45
3,H,1,mono,79.09,1973.88,177.76
4,A,1,mono,132.41,930.48,215.16
4,B,1,mono,0,343.89,178.1
4,C,1,mono,2.29,128.2,61.97
4,D,1,mono,104.47,1653.43,374.81
4,E,1,mono,0,0,69.84
4,F,1,mono,221.4,276.5,114.12
4,G,1,mono,14.01,64.48,25.96
4,H,1,mono,195.51,1338.68,230.94
1,AB,2,ck,223.97,646.6,524.27
2,AC,2,ck,134.42,285.87,447.14
3,BD,2,ck,389.3,318.86,707.2
4,EF,2,ck,222.87,521.96,404.65
5,AD,2,ck,242.44,404.49,1054.22
6,CD,2,ck,185.05,365.24,409.73
7,BC,2,ck,206.16,849.6,193.11
8,GH,2,ck,421.62,352.9,704.32
1,AB,2,SP1.0,237.53,518.34,493.71
2,AC,2,SP1.0,167.01,336.15,543.14
3,BD,2,SP1.0,242.55,249.18,448.26
4,EF,2,SP1.0,306.74,346.99,145.27
5,AD,2,SP1.0,836.93,554.41,303.12
6,CD,2,SP1.0,321.3,745.73,622.62
7,BC,2,SP1.0,126,530.55,184.69
8,GH,2,SP1.0,91.65,298.09,578.04
1,AB,2,SP0.25,316.17,545.39,424.94
2,AC,2,SP0.25,240.47,477.17,537.22
3,BD,2,SP0.25,309.3,286.9,642.14
4,EF,2,SP0.25,646.47,239.22,169.73
5,AD,2,SP0.25,248.51,502.02,359.14
6,CD,2,SP0.25,332.74,588.17,415.39
7,BC,2,SP0.25,169.14,592.06,155.61
8,GH,2,SP0.25,254.59,563.96,442.92
1,AB,2,SP0.0625,393.84,630.27,556.89
2,AC,2,SP0.0625,315.53,656.24,864.18
3,BD,2,SP0.0625,229.68,903.91,523.82
4,EF,2,SP0.0625,743.15,525.02,358.31
5,AD,2,SP0.0625,289.6,313.23,458.16
6,CD,2,SP0.0625,323.99,583.02,348.63
7,BC,2,SP0.0625,267.66,556.52,212.97
8,GH,2,SP0.0625,54.19,620.92,274.56
1,ABCD,4,ck,439.08,998.12,801.14
2,ABEF,4,ck,372.29,896.23,862.12
3,ABCG,4,ck,331.47,1008.36,613.86
4,EFGH,4,ck,367.27,877.17,825.95
5,ABCF,4,ck,561.11,933.71,851.29
6,ABCH,4,ck,353.58,669.79,845.31
7,ABCE,4,ck,389.3,477.44,571.14
8,ABGH,4,ck,343.32,994.74,911.3
1,ABCD,4,SP1.0,526.92,1520.37,728.43
2,ABEF,4,SP1.0,389.7,1014.28,755.07
3,ABCG,4,SP1.0,311.56,540.2,598.95
4,EFGH,4,SP1.0,1135.35,1804.15,959.78
5,ABCF,4,SP1.0,2,1670.76,407.9
6,ABCH,4,SP1.0,312.32,479.36,876.55
7,ABCE,4,SP1.0,344.39,952.59,368.03
8,ABGH,4,SP1.0,318.93,717.54,527.48
1,ABCD,4,SP0.25,676.68,1741.39,924.91
2,ABEF,4,SP0.25,949.98,1295.31,1410.05
3,ABCG,4,SP0.25,461.33,1266.91,1543.76
4,EFGH,4,SP0.25,295.11,664.46,759.54
5,ABCF,4,SP0.25,622.81,1116.43,850.4
6,ABCH,4,SP0.25,294.86,1082.14,1068.97
7,ABCE,4,SP0.25,201.2,465.12,849.08
8,ABGH,4,SP0.25,376.5,549.43,1260.99
1,ABCD,4,SP0.0625,1397.86,1632.58,857.78
2,ABEF,4,SP0.0625,837.46,499.9,819.86
3,ABCG,4,SP0.0625,489.37,1014.55,764.82
4,EFGH,4,SP0.0625,1235.66,866.18,1328.76
5,ABCF,4,SP0.0625,1447.02,2344.74,1801.68
6,ABCH,4,SP0.0625,525.95,714.43,1182.23
7,ABCE,4,SP0.0625,1006.82,1992.83,1898.7
8,ABGH,4,SP0.0625,424.21,808.48,1339.49
1,ABCDEFGH,8,ck,1069.62,1908.78,1840.85
2,ABCDEFGH,8,ck,1290.73,1280.33,2264.62
3,ABCDEFGH,8,ck,1096.56,1671.47,2062.19
4,ABCDEFGH,8,ck,1053.31,1915.45,2099.32
1,ABCDEFGH,8,SP1.0,505.13,1370.18,1748.47
2,ABCDEFGH,8,SP1.0,991.43,2276.37,1825.78
3,ABCDEFGH,8,SP1.0,716.19,1136.49,1654.12
4,ABCDEFGH,8,SP1.0,851.34,2194.23,1051.96
1,ABCDEFGH,8,SP0.25,1037.37,2145.41,1942.35
2,ABCDEFGH,8,SP0.25,1252.57,2316.05,1685.58
3,ABCDEFGH,8,SP0.25,913.61,1628,1827.49
4,ABCDEFGH,8,SP0.25,1055.84,1863.57,1828.02
1,ABCDEFGH,8,SP0.0625,2050.58,2729.41,1947.08
2,ABCDEFGH,8,SP0.0625,1224.98,2069.03,2260.63
3,ABCDEFGH,8,SP0.0625,1390.91,2526.59,2175.69
4,ABCDEFGH,8,SP0.0625,1339.13,2393.66,2625.61
